City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,santo antonio do ica,-3.1022,-67.9397,24.96,91,62,0.43,BR,1707178959
316,cestos city,5.46,-9.5828,26.94,88,42,2.73,LR,1707178959
317,uzgen,40.7699,73.3007,-2.84,61,100,2.38,KG,1707178959
318,waitara,-38.925,174.25,24.72,69,2,3.03,NZ,1707178959
319,kiruna,67.8557,20.2251,-10.49,85,100,1.03,SE,1707178960
320,greenville,35.6127,-77.3663,9.09,56,0,3.6,US,1707178960
321,quesnel,52.9999,-122.5029,-1.72,69,100,3.09,CA,1707178960
322,sierra grande,-41.606,-65.3557,26.7,30,88,5.33,AR,1707178960
323,la sarre,48.8002,-79.1996,-2.19,84,100,1.19,CA,1707178961
324,codrington,-38.2667,141.9667,18.0,49,4,5.65,AU,1707178763
325,antsiranana,-12.2787,49.2917,24.19,93,76,1.97,MG,1707178961
326,manay,7.215,126.5397,25.43,78,100,1.34,PH,1707178961
327,puerto boyaca,5.9758,-74.5885,25.25,86,65,1.3,CO,1707178961
328,carutapera,-1.195,-46.02,25.61,90,33,2.91,BR,1707178962
329,odate,40.2686,140.5683,-1.92,59,40,3.09,JP,1707178905
330,mangai,-4.05,19.5333,20.94,97,87,0.13,CD,1707178962
331,fada,9.5667,8.3,19.97,21,15,4.56,NG,1707178868
332,alofi,-19.0595,-169.9187,28.94,74,40,5.66,NU,1707178768
333,fort wellington,6.4,-57.6,26.89,82,95,6.25,GY,1707178963
334,aykhal,66.0,111.5,-20.89,99,100,2.35,RU,1707178772
335,luuq,3.7938,42.5445,28.02,48,88,6.41,SO,1707178963
336,bandarban,22.1965,92.2262,16.84,75,0,1.11,BD,1707178963
337,el granada,37.5027,-122.4694,15.38,77,75,3.6,US,1707178964
338,ixtapa,20.7,-105.2,25.57,57,0,2.06,MX,1707178964
339,buka,40.8108,69.1986,5.29,38,100,2.19,UZ,1707178722
340,kuta,-8.7233,115.1723,28.97,79,40,3.6,ID,1707178965
341,nsanje,-16.92,35.262,24.61,87,35,0.84,MW,1707178760
342,egilsstadir,65.2653,-14.3948,-10.05,73,0,2.06,IS,1707178732
343,colonia,50.9333,6.95,9.98,78,100,4.12,DE,1707178621
344,lezhe,41.7836,19.6436,4.18,81,10,2.01,AL,1707178966
345,fisterra,42.9049,-9.2629,10.01,74,99,0.62,ES,1707178966
346,la rioja,42.25,-2.5,1.88,65,100,1.97,ES,1707178966
347,galesong,-5.3166,119.3661,27.01,79,91,1.61,ID,1707178966
348,namibe,-15.1961,12.1522,24.71,81,97,3.66,AO,1707178756
349,quepos,9.4236,-84.1652,26.42,84,35,2.4,CR,1707178967
350,makhalino,53.0854,46.2211,-1.22,98,100,3.02,RU,1707178967
351,yerofey pavlovich,53.9667,121.9667,-25.49,96,5,1.62,RU,1707178968
352,laojunmiao,39.8333,97.7333,-9.99,82,100,2.58,CN,1707178968
353,gorontalo,0.5412,123.0595,26.55,83,100,1.48,ID,1707178968
354,nha trang,12.25,109.1833,24.0,88,56,2.87,VN,1707178807
355,aguililla,18.7333,-102.7333,27.05,24,4,0.55,MX,1707178968
356,ji'an,27.1172,114.9793,3.24,93,100,3.02,CN,1707178969
357,san luis de la loma,17.2706,-100.8939,26.7,70,6,2.08,MX,1707178784
358,san antonio de pale,-1.4014,5.6325,27.66,74,86,1.66,GQ,1707178821
359,haiku-pauwela,20.9219,-156.3051,26.25,63,20,8.75,US,1707178766
360,hithadhoo,-0.6,73.0833,28.35,75,100,3.35,MV,1707178740
361,buckie,57.6757,-2.9624,4.84,94,100,7.23,GB,1707178970
